#ID	Nom	Frequence	Moyen	Utilisation
AB	ALBI LE SEQUESTRE	323 Khz	L	A
AB	ALBI LE SEQUESTRE	108.7 Mhz	ILS	A
ABB	ABBEVILLE	108.45 Mhz CH21Y	VOR--DME	E
ABY	ALBERT BRAY	321 Khz	NDB	A
ABY	ALBERT BRAY	108.75 Mhz CH24Y	ILS--DME	A
AC	AJACCIO NAPOLEON BONAPARTE	110.3 Mhz CH40X	ILS--DME	A
ADC	LE CASTELLET	109.25 Mhz CH29Y	DME--ATT	A
ADC	LE CASTELLET	366 Khz	L	A
AG	AGEN LA GARENNE	400 Khz	L	A
AG	AGEN LA GARENNE	110.35 Mhz CH40Y	ILS--DME	A
AGN	AGEN--Gaudonville	114.8 Mhz CH95X	VOR--DME	AE
AGO	ANGOULEME BRIE CHAMPNIERS	404 Khz	L	A
AJO	AJACCIO--Coti Chiavari	114.8 Mhz CH95X	VOR--DME	E
ALM	AIX LES MILLES	413 Khz	L	A
AM	ANGOULEME BRIE CHAMPNIERS	109.35 Mhz CH30Y	ILS--DME	A
AMB	AMBOISE	341 Khz	NDB	E
AMB	AMBOISE	113.7 Mhz CH84X	VOR--DME	E
AMU	AMBERIEU	116.3 Mhz CH110X	TACAN	E
AN	AVIGNON CAUMONT	110.5 Mhz CH42X	ILS--DME	A
ANG	ANGERS	113 Mhz	VOR	E
AR	AURILLAC	343 Khz	L	A
AR	AURILLAC	110.3 Mhz	ILS	A
ARE	MONTS D'ARREE	112.5 Mhz	VOR	E
AS	ANGERS MARCE	392 Khz	L	A
AS	ANGERS MARCE	108.9 Mhz CH26X	ILS--DME	A
AT	ANNECY MEYTHET	384 Khz	L	A
AT	ANNECY MEYTHET	108.9 Mhz CH26X	ILS--DME	A
ATN	AUTUN	114.9 Mhz CH96X	VOR--DME	E
AUB	AUBENAS ARDECHE MERIDIONALE	427 Khz	L	A
AV	AVORD	306.5 Khz	L	A
AV	AVORD	110.7 Mhz	ILS	A
AVD	AVORD	288.5 Khz	NDB	E
AVD	AVORD	110.6 Mhz CH43X	TACAN	E
AVN	AVIGNON Pujaut	112.3 Mhz	VOR	AE
AX	AUXERRE BRANCHES	417 Khz	L	A
AX	AUXERRE BRANCHES	109.95 Mhz CH36Y	ILS--DME	A
AZR	NICE COTE D'AZUR	109.65 Mhz CH33Y	VOR--DME	A
BAS	BASTIA PORETTA	111.35 Mhz CH50Y	ILS--DME	A
BD	BORDEAUX MERIGNAC	393 Khz	L	A
BD	BORDEAUX MERIGNAC	110.3 Mhz CH40X	ILS--DME	A
BDX	BORDEAUX MERIGNAC	114.4 Mhz CH91X	TACAN	AE
BE	BORDEAUX MERIGNAC	318 Khz	L	A
